FECHA;VENTAS
2013-01-31;9779935.0
2013-02-28;8531513.0
2013-03-31;9952827.0
2013-04-30;9690603.0
2013-05-31;9222097.0
2013-06-30;9196879.0
2013-07-31;10016088.0
2013-08-31;9846143.0
2013-09-30;9289312.0
2013-10-31;9876640.0
2013-11-30;9463686.0
2013-12-31;9601539.0
2014-01-31;10670809.0
2014-02-28;9497612.0
2014-03-31;10449288.0
2014-04-30;10369231.0
2014-05-31;10195947.0
2014-06-30;9828377.0
2014-07-31;10099765.0
2014-08-31;10308208.0
2014-09-30;9704798.0
2014-10-31;10365884.0
2014-11-30;9822848.0
2014-12-31;10380765.0
2015-01-31;10780205.0
2015-02-28;10318815.0
2015-03-31;10879825.0
2015-04-30;10012018.0
2015-05-31;10629662.0
2015-06-30;10204102.0
2015-07-31;11691900.0
2015-08-31;10357159.0
2015-09-30;10846677.0
2015-10-31;10166520.0
2015-11-30;11003958.0
2015-12-31;10955102.0
2016-01-31;11027048.0
2016-02-29;10493287.0
2016-03-31;10943900.0
2016-04-30;11274896.0
2016-05-31;11562841.0
2016-06-30;10327335.0
2016-07-31;11630449.0
2016-08-31;11758049.0
2016-09-30;11446077.0
2016-10-31;10670881.0
2016-11-30;11094855.0
2016-12-31;11474134.0
2017-01-31;12019449.0
2017-02-28;10099491.0
2017-03-31;12102854.0
2017-04-30;11935234.0
2017-05-31;11776639.0
2017-06-30;11194001.0
2017-07-31;12543789.0
2017-08-31;10644961.0
2017-09-30;11972584.0
2017-10-31;11313334.0
2017-11-30;11402176.0
2017-12-31;12344591.0
2018-01-31;12681347.0
2018-02-28;11395724.0
2018-03-31;13096254.0
2018-04-30;12677311.0
2018-05-31;12625900.0
2018-06-30;11576250.0
2018-07-31;12075968.0
2018-08-31;13209195.0
2018-09-30;11940721.0
2018-10-31;12282447.0
2018-11-30;11398601.0
2018-12-31;13919209.0
2019-01-31;12979676.0
2019-02-28;11745342.0
2019-03-31;13698582.0
2019-04-30;12991240.0
2019-05-31;12824613.0
2019-06-30;12765979.0
2019-07-31;14241651.0
2019-08-31;12821451.0
2019-09-30;13212009.0
2019-10-31;12719445.0
2019-11-30;12352788.0
2019-12-31;13220564.0
2020-01-31;13406807.0
2020-02-29;12915926.0
2020-03-31;12753954.0
2020-04-30;14210608.0
2020-05-31;12910111.0
2020-06-30;13832113.0
2020-07-31;14534323.0
2020-08-31;13076540.0
2020-09-30;13118792.0
2020-10-31;14901935.0
2020-11-30;13770597.0
2020-12-31;13965235.0
2021-01-31;14354566.0
2021-02-28;12267826.0
2021-03-31;13715048.0
2021-04-30;13749286.0
2021-05-31;14260307.0
2021-06-30;14748313.0
2021-07-31;15144453.0
2021-08-31;14013945.0
2021-09-30;13513187.0
2021-10-31;14562503.0
2021-11-30;14059343.0
2021-12-31;14639203.0
2022-01-31;15870458.0
2022-02-28;12750229.0
2022-03-31;15850592.0
2022-04-30;15025067.0
2022-05-31;14608986.0
2022-06-30;15198871.0
2022-07-31;15238902.0
2022-08-31;14796248.0
2022-09-30;15011419.0
2022-10-31;15083419.0
2022-11-30;14752210.0
2022-12-31;15600089.0
2023-01-31;16031454.0
2023-02-28;13546164.0
2023-03-31;16168767.0
2023-04-30;15114236.0
2023-05-31;16245890.0
2023-06-30;16409521.0
2023-07-31;16026171.0
2023-08-31;16630148.0
2023-09-30;15519734.0
2023-10-31;16553211.0
2023-11-30;15316020.0
2023-12-31;16217284.0
2024-01-31;16764302.0
2024-02-29;15645003.0
2024-03-31;17271106.0
2024-04-30;16652144.0
2024-05-31;15850042.0
2024-06-30;17065762.0
2024-07-31;17212327.0
2024-08-31;18005161.0
2024-09-30;17265429.0
2024-10-31;16714515.0
2024-11-30;16469144.0
2024-12-31;16380530.0
2025-01-31;17771146.0
2025-02-28;15698509.0
2025-03-31;17944103.0
2025-04-30;16614331.0
2025-05-31;17487369.0
2025-06-30;17281766.0
2025-07-31;16939448.0
2025-08-31;17640091.0
2025-09-30;17293252.0
2025-10-31;18440148.0
2025-11-30;16171227.0
2025-12-31;17895030.0
2026-01-31;18242407.0
2026-02-28;17855165.0
2026-03-31;18386051.0
2026-04-30;17129235.0
